codigo,nombre,descripcion
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,BRUCELOSIS
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,BRUCELOSIS
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,BRUCELOSIS
A238,OTRAS BRUCELOSIS,BRUCELOSIS
A239,"BRUCELOSIS, NO ESPECIFICADA",BRUCELOSIS
A240,MUERMO,MUERMO Y MELIOIDOSIS
A241,MELIOIDOSIS AGUDA Y FULMINANTE,MUERMO Y MELIOIDOSIS
A242,MELIOIDOSIS SUBAGUDA Y CRONICA,MUERMO Y MELIOIDOSIS
A243,OTRAS MELIOIDOSIS,MUERMO Y MELIOIDOSIS
A244,"MELIOIDOSIS, NO ESPECIFICADA",MUERMO Y MELIOIDOSIS
A250,ESPIRILOSIS,FIEBRES POR MORDEDURA DE RATA
A251,ESTREPTOBACILOSIS,FIEBRES POR MORDEDURA DE RATA
A259,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA",FIEBRES POR MORDEDURA DE RATA
A260,ERISIPELOIDE CUTANEO,ERISIPELOIDE
A267,SEPSIS POR ERYSIPELOTHRIX,ERISIPELOIDE
A268,OTRAS FORMAS DE ERISIPELOIDE,ERISIPELOIDE
A269,"ERISIPELOIDE, NO ESPECIFICADA",ERISIPELOIDE
A270,LEPTOSPIROSIS ICTEROHEMORRAGICA,LEPTOSPIROSIS
A278,OTRAS FORMAS DE LEPTOSPIROSIS,LEPTOSPIROSIS
A279,"LEPTOSPIROSIS, NO ESPECIFICADA",LEPTOSPIROSIS
A280,PASTEURELOSIS,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A281,ENFERMEDAD POR RASGUNO DE GATO,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A282,YERSINIOSIS EXTRAINTESTINAL,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A288,"OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE",OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A289,"ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION",OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A300,LEPRA INDETERMINADA,LEPRA [ ENFERMEDAD DE HANSEN ]
A301,LEPRA TUBERCULOIDE,LEPRA [ ENFERMEDAD DE HANSEN ]
A302,LEPRA TUBERCULOIDE LIMITROFE,LEPRA [ ENFERMEDAD DE HANSEN ]
A303,LEPRA LIMITROFE,LEPRA [ ENFERMEDAD DE HANSEN ]
A304,LEPRA LEPROMATOSA LIMITROFE,LEPRA [ ENFERMEDAD DE HANSEN ]
A305,LEPRA LEPROMATOSA,LEPRA [ ENFERMEDAD DE HANSEN ]
A308,OTRAS FORMAS DE LEPRA,LEPRA [ ENFERMEDAD DE HANSEN ]
A309,"LEPRA, NO ESPECIFICADA",LEPRA [ ENFERMEDAD DE HANSEN ]
A310,INFECCIONES POR MICOBACTERIAS PULMONARES,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A311,INFECCION CUTANEA POR MICOBACTERIAS,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A318,OTRAS INFECCIONES POR MICOBACTERIAS,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A319,"INFECCION POR MICOBACTERIA, NO ESPECIFICADA",INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A320,LISTERIOSIS CUTANEA,LISTERIOSIS
A321,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA,LISTERIOSIS
A327,SEPSIS LISTERIANA,LISTERIOSIS
A328,OTRAS FORMAS DE LISTERIOSIS,LISTERIOSIS
A329,"LISTERIOSIS, NO ESPECIFICADA",LISTERIOSIS
A33X,TETANOS NEONATAL,TETANOS NEONATAL
A34X,TETANOS OBSTETRICO,TETANOS OBSTETRICO
A35X,OTROS TETANOS,OTROS TETANOS
A360,DIFTERIA FARINGEA,DIFTERIA
A361,DIFTERIA NASOFARINGEA,DIFTERIA
A362,DIFTERIA LARINGEA,DIFTERIA
A363,DIFTERIA CUTANEA,DIFTERIA
A368,OTRAS DIFTERIAS,DIFTERIA
A369,"DIFTERIA, NO ESPECIFICADA",DIFTERIA
A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS,TOS FERINA [ TOS CONVULSIVA ]
A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS,TOS FERINA [ TOS CONVULSIVA ]
A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA,TOS FERINA [ TOS CONVULSIVA ]
A379,"TOS FERINA, NO ESPECIFICADA",TOS FERINA [ TOS CONVULSIVA ]
A38X,ESCARLATINA,ESCARLATINA
