codigo,nombre,descripcion
C66X,TUMOR MALIGNO DEL URETER,TUMOR MALIGNO DEL URETER
C670,TUMOR MALIGNO DEL TRIGONO VESICAL,TUMOR MALIGNO DE LA VEJIGA URINARIA
C671,TUMOR MALIGNO DE LA CUPULA VESICAL,TUMOR MALIGNO DE LA VEJIGA URINARIA
C672,TUMOR MALIGNO DE LA PARED LATERAL DE LA VEJIGA,TUMOR MALIGNO DE LA VEJIGA URINARIA
C673,TUMOR MALIGNO DE LA PARED ANTERIOR DE LA VEJIGA,TUMOR MALIGNO DE LA VEJIGA URINARIA
C674,TUMOR MALIGNO DE LA PARED POSTERIOR DE LA VEJIGA,TUMOR MALIGNO DE LA VEJIGA URINARIA
C675,TUMOR MALIGNO DEL CUELLO DE LA VEJIGA,TUMOR MALIGNO DE LA VEJIGA URINARIA
C676,TUMOR MALIGNO DEL ORIFICIO URETERAL,TUMOR MALIGNO DE LA VEJIGA URINARIA
C677,TUMOR MALIGNO DEL URACO,TUMOR MALIGNO DE LA VEJIGA URINARIA
C678,LESION DE SITIOS CONTIGUOS DE LA VEJIGA,TUMOR MALIGNO DE LA VEJIGA URINARIA
C679,"TUMOR MALIGNO DE LA VEJIGA URINARIA, PARTE NO ESPECIFICADA",TUMOR MALIGNO DE LA VEJIGA URINARIA
C680,TUMOR MALIGNO DE LA URETRA,TUMOR MALIGNO OTROS ORGANOS URINARIOS Y DE LOS NO ESPECIFICADOS
C681,TUMOR MALIGNO DE LAS GLANDULAS PARAURETRALES,TUMOR MALIGNO OTROS ORGANOS URINARIOS Y DE LOS NO ESPECIFICADOS
C688,LESION DE SITIOS CONTIGUOS DE LOS ORGANOS URINARIOS,TUMOR MALIGNO OTROS ORGANOS URINARIOS Y DE LOS NO ESPECIFICADOS
C689,TUMOR MALIGNO DE ORGANO URINARIO NO ESPECIFICADO,TUMOR MALIGNO OTROS ORGANOS URINARIOS Y DE LOS NO ESPECIFICADOS
C690,TUMOR MALIGNO DE LA CONJUNTIVA,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C691,TUMOR MALIGNO DE LA CORNEA,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C692,TUMOR MALIGNO DE LA RETINA,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C693,TUMOR MALIGNO DE LA COROIDES,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C694,TUMOR MALIGNO DEL CUERPO CILIAR,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C695,TUMOR MALIGNO DE LA GLANDULA Y CONDUCTO LAGRIMALES,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C696,TUMOR MALIGNO DE LA ORBITA,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C698,LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS,TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C699,"TUMOR MALIGNO DEL OJO, PARTE NO ESPECIFICADA",TUMOR MALIGNO DEL OJO Y SUS ANEXOS
C700,TUMOR MALIGNO DE LAS MENINGES CEREBRALES,TUMOR MALIGNO DE LAS MENINGES
C701,TUMOR MALIGNO DE LAS MENINGES RAQUIDEAS,TUMOR MALIGNO DE LAS MENINGES
C709,"TUMOR MALIGNO DE LAS MENINGES, PARTE NO ESPECIFICADA",TUMOR MALIGNO DE LAS MENINGES
C710,"TUMOR MALIGNO DEL CEREBRO, EXCEPTO LOBULOS Y VENTRICULOS",TUMOR MALIGNO DEL ENCEFALO
C711,TUMOR MALIGNO DEL LOBULO FRONTAL,TUMOR MALIGNO DEL ENCEFALO
C712,TUMOR MALIGNO DEL LOBULO TEMPORAL,TUMOR MALIGNO DEL ENCEFALO
C713,TUMOR MALIGNO DEL LOBULO PARIETAL,TUMOR MALIGNO DEL ENCEFALO
C714,TUMOR MALIGNO DEL LOBULO OCCIPITAL,TUMOR MALIGNO DEL ENCEFALO
C715,TUMOR MALIGNO DEL VENTRICULO CEREBRAL,TUMOR MALIGNO DEL ENCEFALO
C716,TUMOR MALIGNO DEL CEREBELO,TUMOR MALIGNO DEL ENCEFALO
C717,TUMOR MALIGNO DEL PEDUNCULO CEREBRAL,TUMOR MALIGNO DEL ENCEFALO
C718,LESION DE SITIOS CONTIGUOS DEL ENCEFALO,TUMOR MALIGNO DEL ENCEFALO
C719,"TUMOR MALIGNO DEL ENCEFALO, PARTE NO ESPECIFICADA",TUMOR MALIGNO DEL ENCEFALO
C720,TUMOR MALIGNO DE LA MEDULA ESPINAL,"TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C721,TUMOR MALIGNO DE LA COLA DE CABALLO,"TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C722,TUMOR MALIGNO DEL NERVIO OLFATORIO,"TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C723,TUMOR MALIGNO DEL NERVIO OPTICO,"TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C724,TUMOR MALIGNO DEL NERVIO ACUSTICO,"TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C725,TUMOR MALIGNO DE OTROS NERVIOS CRANEALES Y LOS NO ESPECIFICADOS,"TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C728,LESION DE SITIOS CONTIGUOS DEL ENCEFALO Y OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL,"TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C729,"TUMOR MALIGNO DEL SISTEMA NERVIOSO CENTRAL, SIN OTRA ESPECIFICACION","TUMOR MALIGNO DE LA MEDULA ESPINAL, DE LOS NERVIOS CRANEALES Y DE OTRAS PARTES DEL SISTEMA NERVIOSO CENTRAL"
C73X,TUMOR MALIGNO DE LA GLANDULA TIROIDES,TUMOR MALIGNO DE LA GLANDULA TIROIDES
C740,TUMOR MALIGNO DE LA CORTEZA DE LA GLANDULA SUPRARRENAL,TUMOR MALIGNO DE LA GLANDULA SUPRARRENAL
C741,TUMOR MALIGNO DE LA MEDULA DE LA GLANDULA SUPRARRENAL,TUMOR MALIGNO DE LA GLANDULA SUPRARRENAL
C749,"TUMOR MALIGNO DE LA GLANDULA SUPRARRENAL, PARTE NO ESPECIFICADA",TUMOR MALIGNO DE LA GLANDULA SUPRARRENAL
C750,TUMOR MALIGNO DE LA GLANDULA PARATIROIDES,TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C751,TUMOR MALIGNO DE LA HIPOFISIS,TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C752,TUMOR MALIGNO DEL CONDUCTO CRANEOFARINGEO,TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C753,TUMOR MALIGNO DE LA GLANDULA PINEAL,TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C754,TUMOR MALIGNO DEL CUERPO CAROTIDEO,TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C755,TUMOR MALIGNO DEL CUERPO AORTICO Y OTROS CUERPOS CROMAFINES,TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C758,"TUMOR MALIGNO PLURIGLANDULAR, NO ESPECIFICADO",TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C759,TUMOR MALIGNO DE GLANDULA ENDOCRINA NO ESPECIFICADA,TUMOR MALIGNO DE OTRAS GLANDULAS ENDOCRINAS Y DE ESTRUCTURAS AFINES
C760,"TUMOR MALIGNO DE LA CABEZA, CARA Y CUELLO",TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C761,TUMOR MALIGNO DEL TORAX,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C762,TUMOR MALIGNO DEL ABDOMEN,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C763,TUMOR MALIGNO DE LA PELVIS,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C764,TUMOR MALIGNO DEL MIEMBRO SUPERIOR,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C765,TUMOR MALIGNO DEL MIEMBRO INFERIOR,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C767,TUMOR MALIGNO DE OTROS SITIOS MAL DEFINIDOS,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C768,LESION DE SITIOS CONTIGUOS MAL DEFINIDOS,TUMOR MALIGNO DE OTROS SITIOS Y DE LOS SITIOS MAL DEFINIDOS
C770,"TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA CABEZA, CARA Y CUELLO",TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C771,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS INTRATORACICOS,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C772,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS INTRAABDOMINALES,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C773,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA AXILA Y DEL MIEMBRO SUPERIOR,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C774,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA REGION INGUINAL Y DEL MIEMBRO INFERIOR,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C775,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE LA PELVIS,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C778,TUMOR MALIGNO DE LOS GANGLIOS LINFATICOS DE REGIONES MULTIPLES,TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C779,"TUMOR MALIGNO DEL GANGLIO LINFATICO, SITIO NO ESPECIFICADO",TUMOR MALIGNO SECUNDARIO Y EL NO ESPECIFICADO DE LOS GANGLIOS LINFATICOS
C780,TUMOR MALIGNO SECUNDARIO DEL PULMON,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C781,TUMOR MALIGNO SECUNDARIO DEL MEDIASTINO,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C782,TUMOR MALIGNO SECUNDARIO DE LA PLEURA,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C783,TUMOR MALIGNO SECUNDARIO DE OTROS ORGANOS RESPIRATORIOS Y DE LOS NO ESPECIFICADOS,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C784,TUMOR MALIGNO SECUNDARIO DEL INTESTINO DELGADO,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C785,TUMOR MALIGNO SECUNDARIO DEL INTESTINO GRUESO Y DEL RECTO,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C786,TUMOR MALIGNO SECUNDARIO DEL PERITONEO Y DEL RETROPERITONEO,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C787,TUMOR MALIGNO SECUNDARIO DEL HIGADO Y DE LOS CONDUCTOS BILIARES INTRAHEPATICOS,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C788,TUMOR MALIGNO SECUNDARIO DE OTROS ORGANOS DIGESTIVOS Y DE LOS NO ESPECIFICADOS,TUMOR MALIGNO SECUNDARIO DE LOS ORGANOS RESPIRATORIOS Y DIGESTIVOS
C790,TUMOR MALIGNO SECUNDARIO DEL RINON Y DE LA PELVIS RENAL,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C791,"TUMOR MALIGNO SECUNDARIO DE LA VEJIGA, Y DE OTROS ORGANOS Y LOS NO ESPECIFICADOS DE LAS VIAS URINARIAS",TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C792,TUMOR MALIGNO SECUNDARIO DE LA PIEL,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C793,TUMOR MALIGNO SECUNDARIO DEL ENCEFALO Y DE LAS MENINGES CEREBRALES,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C794,TUMOR MALIGNO SECUNDARIO DE OTRAS PARTES DEL SISTEMA NERVIOSO Y DE LAS NO ESPECIFICADAS,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C795,TUMOR MALIGNO SECUNDARIO DE LOS HUESOS Y DE LA MEDULA OSEA,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C796,TUMOR MALIGNO SECUNDARIO DEL OVARIO,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C797,TUMOR MALIGNO SECUNDARIO DE LA GLANDULA SUPRARRENAL,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C798,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS ESPECIFICADOS,TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C799,"TUMOR MALIGNO SECUNDARIO, SITIO NO ESPECIFICADO",TUMOR MALIGNO SECUNDARIO DE OTROS SITIOS Y DE SITIOS NO ESPECIFICADOS
C800,"TUMOR MALIGNO, DE SITIO PRIMARIO DESCONOCIDO, ASI DESCRITO",TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
C809,"TUMOR MALIGNO, SITIO PRIMARIO NO ESPECIFICADO",TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
C80X,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS,TUMOR MALIGNO DE SITIOS NO ESPECIFICADOS
C810,LINFOMA DE HODGKIN CON PREDOMINIO LINFOCITICO NODULAR,LINFORMA DE HODGKIN
C811,LINFOMA DE HODGKIN CLASICO CON ESCLEROSIS NODULAR,LINFORMA DE HODGKIN
C812,LINFOMA DE HODGKIN CLASICO CON CELULARIDAD MIXTA,LINFORMA DE HODGKIN
C813,LINFOMA DE HODGKIN CLASICO CON DEPLECION LINFOCITICA,LINFORMA DE HODGKIN
C814,LINFOMA DE HODGKIN CLASICO RICO EN LINFOCITOS,LINFORMA DE HODGKIN
C817,OTROS TIPOS DE LINFOMAS DE HODGKIN CLASICOS,LINFORMA DE HODGKIN
C819,"LINFOMA DE HODGKIN, NO ESPECIFICADO",LINFORMA DE HODGKIN
C820,LINFOMA FOLICULAR GRADO I,LINFOMA FOLICULAR
C821,LINFOMA FOLICULAR GRADO II,LINFOMA FOLICULAR
C822,LINFOMA FOLICULAR GRADO III NO ESPECIFICADO,LINFOMA FOLICULAR
C823,LINFOMA FOLICULAR GRADO IIIA,LINFOMA FOLICULAR
C824,LINFOMA FOLICULAR GRADO IIIB,LINFOMA FOLICULAR
C825,LINFOMA CENTRO FOLICULAR DIFUSO,LINFOMA FOLICULAR
C826,LINFOMA CENTRO FOLICULAR CUTANEO,LINFOMA FOLICULAR
C827,OTROS TIPOS ESPECIFICADOS DE LINFOMA FOLICULAR,LINFOMA FOLICULAR
C829,"LINFOMA FOLICULAR, SIN OTRA ESPECIFICACION",LINFOMA FOLICULAR
C830,LINFOMA DE CELULAS B PEQUENAS,LINFOMA NO FOLICULAR
C831,LINFOMA DE CELULAS DEL MANTO,LINFOMA NO FOLICULAR
C832,"LINFOMA NO HODGKIN MIXTO, DE CELULAS PEQUEÑAS Y GRANDES (DIFUSO)","LINFOMA NO HODGKIN MIXTO, DE CELULAS PEQUEÑAS Y GRANDES(DIFUSO)"
C833,LINFOMA DE CELULAS GRANDES B DIFUSO,LINFOMA NO FOLICULAR
C834,LINFOMA NO HODGKIN INMUNOBLASTICO (DIFUSO),LINFOMA NO HODGKIN INMUNOBLASTICO (DIFUSO)
C835,LINFOMA LINFOBLASTICO (DIFUSO),LINFOMA NO FOLICULAR
C836,LINFOMA NO HODGKIN INDIFERENCIADO (DIFUSO),LINFOMA NO HODGKIN INDIFERENCIADO (DIFUSO)
C837,LINFOMA DE BURKITT,LINFOMA NO FOLICULAR
C838,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO FOLICULAR,LINFOMA NO FOLICULAR
C839,"LINFOMA NO FOLICULAR (DIFUSO), SIN OTRA ESPECIFICACION",LINFOMA NO FOLICULAR
C840,MICOSIS FUNGOIDE,LINFOMA DE CELULAS TNK MADURAS
C841,ENFERMEDAD DE SEZARY,LINFOMA DE CELULAS TNK MADURAS
C842,LINFOMA DE ZONA T,LINFOMA DE ZONA T
C843,LINFOMA LINFOEPITELIOIDE,LINFOMA LINFOEPITELIOIDE
C844,"LINFOMA PERIFERICO DE CELULAS T, NO CLASIFICADO EN OTRA PARTE",LINFOMA DE CELULAS TNK MADURAS
C845,OTROS LINFOMAS DE CELULAS T/NK MADURAS,LINFOMA DE CELULAS TNK MADURAS
C846,LINFOMA ANAPLASICO DE CELULAS GRANDES ALK-POSITIVO,LINFOMA DE CELULAS TNK MADURAS
C847,LINFOMA ANAPLASICO DE CELULAS GRANDES ALK-NEGATIVO,LINFOMA DE CELULAS TNK MADURAS
C848,"LINFOMA CUTANEO DE CELULAS T, NO ESPECIFICADO",LINFOMA DE CELULAS TNK MADURAS
C849,"LINFOMA DE CELULAS T/NK MADURAS, NO ESPECIFICADO",LINFOMA DE CELULAS TNK MADURAS
C850,LINFOSARCOMA,LINFOSARCOMA
C851,"LINFOMA DE CELULAS B, SIN OTRA ESPECIFICACION",LINFOMA NO HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO
C852,LINFOMA MEDIASTINAL DE CELULAS B GRANDES (DEL TIMO),LINFOMA NO HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO
C857,OTROS TIPOS ESPECIFICADOS DE LINFOMA NO HODGKIN,LINFOMA NO HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO
C859,"LINFOMA NO HODGKIN, NO ESPECIFICADO",LINFOMA NO HODGKIN DE OTRO TIPO Y EL NO ESPECIFICADO
C860,"LINFOMA EXTRANODAL DE CELULAS T/NK, TIPO NASAL",OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS TNK
C861,LINFOMA HEPATOESPLENICO DE CELULAS T,OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS TNK
C862,LINFOMA DE CELULAS T TIPO ENTEROPATIA (INTESTINAL),OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS TNK
C863,LINFOMA DE CELULAS T TIPO PANICULITIS SUBCUTANEA,OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS TNK
C864,LINFOMA BLASTICO DE CELULAS NK,OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS TNK
C865,LINFOMA ANGIOINMUNOBLASTICO DE CELULAS T,OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS TNK
C866,TRASTORNOS LINFOPROLIFERATIVOS PRIMARIO CUTANEOS DE CELULAS T CD30-POSITIVO,OTROS TIPOS ESPECIFICADOS DE LINFOMA DE CELULAS TNK
C880,MACROGLOBULINEMIA DE WALDENSTRM,ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C881,ENFERMEDAD DE CADENA PESADA ALFA,ENFERMEDAD DE CADENA PESADA ALFA
C882,OTRAS ENFERMEDADES DE CADENA PESADA,ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C883,ENFERMEDAD INMUNOPROLIFERATIVA DEL INTESTINO DELGADO,ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C884,LINFOMA DE CELULAS B EXTRANODAL DE ZONA MARGINAL DE TEJIDO LINFOIDE ASOCIADO A MUCOSAS [LINFOMA TLAM],ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C887,OTRAS ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS,ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C889,"ENFERMEDAD INMUNOPROLIFERATIVA MALIGNA, SIN OTRA ESPECIFICACION",ENFERMEDADES INMUNOPROLIFERATIVAS MALIGNAS
C900,MIELOMA MULTIPLE,MIELOMA MULTIPLE Y TUMORES MALIGNOS DE CELULAS PLASMATICAS
C901,LEUCEMIA DE CELULAS PLASMATICAS,MIELOMA MULTIPLE Y TUMORES MALIGNOS DE CELULAS PLASMATICAS
C902,PLASMOCITOMA EXTRAMEDULAR,MIELOMA MULTIPLE Y TUMORES MALIGNOS DE CELULAS PLASMATICAS
C903,PLASMOCITOMA SOLITARIO,MIELOMA MULTIPLE Y TUMORES MALIGNOS DE CELULAS PLASMATICAS
C910,LEUCEMIA LINFOBLASTICA AGUDA [LLA],LEUCEMIA LINFOIDE
C911,LEUCEMIA LINFOCITICA CRONICA DE CELULA TIPO B,LEUCEMIA LINFOIDE
C912,LEUCEMIA LINFOCITICA SUBAGUDA,LEUCEMIA LINFOCITICA SUBAGUDA
C913,LEUCEMIA PROLINFOCITICA DE CELULA TIPO B,LEUCEMIA LINFOIDE
C914,LEUCEMIA DE CELULAS VELLOSAS,LEUCEMIA LINFOIDE
C915,LEUCEMIA/LINFOMA DE CELULAS T ADULTAS [HTLV-1-ASOCIADO],LEUCEMIA LINFOIDE
C916,LEUCEMIA PROLINFOCITICA DE CELULAS TIPO T,LEUCEMIA LINFOIDE
C917,OTRAS LEUCEMIAS LINFOIDES,LEUCEMIA LINFOIDE
C918,LEUCEMIA TIPO BURKITT DE CELULAS B MADURAS,LEUCEMIA LINFOIDE
C919,"LEUCEMIA LINFOIDE, SIN OTRA ESPECIFICACION",LEUCEMIA LINFOIDE
C920,LEUCEMIA MIELOBLASTICA AGUDA [LMA],LEUCEMIA MIELOIDE
C921,"LEUCEMIA MIELOIDE CRONICA [LMC], BCR/ABL-POSITIVO",LEUCEMIA MIELOIDE
C922,"LEUCEMIA MIELOIDE CRONICA ATIPICA, BCR/ABL-NEGATIVO",LEUCEMIA MIELOIDE
C923,SARCOMA MIELOIDE,LEUCEMIA MIELOIDE
C924,LEUCEMIA PROMIELOCITICA AGUDA [LPA],LEUCEMIA MIELOIDE
C925,LEUCEMIA MIELOMONOCITICA AGUDA,LEUCEMIA MIELOIDE
C926,LEUCEMIA MIELOIDE AGUDA CON ANORMALIDAD 11Q23,LEUCEMIA MIELOIDE
C927,OTRAS LEUCEMIAS MIELOIDES,LEUCEMIA MIELOIDE
C928,LEUCEMIA MIELOIDE AGUDA CON DISPLASIA MULTILINAJE,LEUCEMIA MIELOIDE
C929,"LEUCEMIA MIELOIDE, SIN OTRA ESPECIFICACION",LEUCEMIA MIELOIDE
C930,LEUCEMIA MONOCITICA/MONOBLASTICA AGUDA,LEUCEMIA MONOCITICA
C931,LEUCEMIA MIELOMONOCITICA CRONICA,LEUCEMIA MONOCITICA
C932,LEUCEMIA MONOCITICA SUBAGUDA,LEUCEMIA MONOCITICA SUBAGUDA
C933,LEUCEMIA MIELOMONOCITICA JUVENIL,LEUCEMIA MONOCITICA
C937,OTRAS LEUCEMIAS MONOCITICAS,LEUCEMIA MONOCITICA
C939,"LEUCEMIA MONOCITICA, SIN OTRA ESPECIFICACION",LEUCEMIA MONOCITICA
C940,LEUCEMIA ERITROIDE AGUDA,OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO
C941,ERITREMIA CRONICA,ERITREMIA CRONICA
C942,LEUCEMIA MEGACARIOBLASTICA AGUDA,OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO
C943,LEUCEMIA DE MASTOCITOS,OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO
C944,PANMIELOSIS AGUDA CON MIELOFIBROSIS,OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO
C945,MIELOFIBROSIS AGUDA,MIELOFIBROSIS AGUDA
C946,"ENFERMEDAD MIELODISPLASICA Y MIELOPROLIFERATIVA, NO CLASIFICADA EN OTRA PARTE",OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO
C947,OTRAS LEUCEMIAS ESPECIFICADAS,OTRAS LEUCEMIAS DE TIPO CELULAR ESPECIFICADO
C950,"LEUCEMIA AGUDA, CELULAS DE TIPO NO ESPECIFICADO",LEUCEMIA DE CELULAS DE TIPO NO ESPECIFICADO
C951,"LEUCEMIA CRONICA, CELULAS DE TIPO NO ESPECIFICADO",LEUCEMIA DE CELULAS DE TIPO NO ESPECIFICADO
C952,"LEUCEMIA SUBAGUDA, CELULAS DE TIPO NO ESPECIFICADO","LEUCEMIA SUBAGUDA, CELULAS DE TIPO NO ESPECIFICADO"
C957,OTRAS LEUCEMIAS DE CELULAS DE TIPO NO ESPECIFICADO,LEUCEMIA DE CELULAS DE TIPO NO ESPECIFICADO
C959,"LEUCEMIA, NO ESPECIFICADA",LEUCEMIA DE CELULAS DE TIPO NO ESPECIFICADO
C960,HISTIOCITOSIS DE CELULAS DE LANGERHANS MULTIFOCAL Y MULTISISTEMICA (DISEMINADA) [ENFERMEDAD DE LETTERER-SIWE],"OTROS TUMORES MALIGNOS Y LOS NO ESPECIFICADOS DEL TEJIDO LINFATICO, DE LOS ORGANOS HEMATOPOYETICOS Y DE TEJIDOS AFINES"
C961,HISTIOCITOSIS MALIGNA,HISTIOCITOSIS MALIGNA
C962,TUMOR MALIGNO DE MASTOCITOS,"OTROS TUMORES MALIGNOS Y LOS NO ESPECIFICADOS DEL TEJIDO LINFATICO, DE LOS ORGANOS HEMATOPOYETICOS Y DE TEJIDOS AFINES"
C963,LINFOMA HISTIOCITICO VERDADERO,LINFOMA HISTIOCITICO VERDADERO
C964,SARCOMA DE CELULAS DENDRITICAS (CELULAS ACCESORIAS),"OTROS TUMORES MALIGNOS Y LOS NO ESPECIFICADOS DEL TEJIDO LINFATICO, DE LOS ORGANOS HEMATOPOYETICOS Y DE TEJIDOS AFINES"
