codigo_cups,nombre_servicio,categoria
819201,INYECCION DE SUSTANCIA TERAPEUTICA DENTRO DE LA ARTICULACION O EL LIGAMENTO,procedimientos
839601,INYECCION O INFILTRACION DE SUSTANCIA TERAPEUTICA DENTRO DE BURSA,procedimientos
839701,INYECCION O INFILTRACION DE SUSTANCIA TERAPEUTICA DENTRO DE TENDON,procedimientos
860101,BIOPSIA DE PIEL CON SACABOCADO Y SUTURA SIMPLE,procedimientos
860205,TUBERCULINA PRUEBA(DE MANTOUX),procedimientos
870114,"RADIOGRAFIA PANORAMICA DE MAXILARES, SUPERIOR E INFERIOR(ORTOPANTOMOGRAFIA)",procedimientos
870440,RADIOGRAFIAS INTRAORALES OCLUSALES,procedimientos
870450,RADIOGRAFIAS INTRAORALES PERIAPICALES MILIMETRADAS,procedimientos
870451,RADIOGRAFIAS INTRAORALES PERIAPICALES DIENTES ANTERIORES SUPERIORES,procedimientos
870452,RADIOGRAFIAS INTRAORALES PERIAPICALES DIENTES ANTERIORES INFERIORES,procedimientos
870453,RADIOGRAFIAS INTRAORALES PERIAPICALES ZONA DE CANINOS,procedimientos
870454,RADIOGRAFIAS INTRAORALES PERIAPICALES PREMOLARES,procedimientos
870455,RADIOGRAFIAS INTRAORALES PERIAPICALES MOLARES,procedimientos
870456,RADIOGRAFIAS INTRAORALES PERIAPICALES JUEGO COMPLETO,procedimientos
870460,RADIOGRAFIAS INTRAORALES CORONALES,procedimientos
871121,"RADIOGRAFIA DE TORAX (P.A. O A.P. Y LATERAL, DECUBITO LATERAL, OBLICUAS O LATERAL)",procedimientos
873204,RADIOGRAFIA DE HOMBRO,procedimientos
873205,RADIOGRAFIA DE CODO,procedimientos
873206,RADIOGRAFIA DE PUNO O MUNECA,procedimientos
873210,RADIOGRAFIA DE MANO,procedimientos
873333,"RADIOGRAFIA DE PIE (AP, LATERAL Y OBLICUA)",procedimientos
873411,"RADIOGRAFIA DE CADERA O ARTICULACION COXO-FEMORAL (AP, LATERAL)",procedimientos
873412,RADIOGRAFIA DE CADERA COMPARATIVA,procedimientos
873420,"RADIOGRAFIA DE RODILLA (AP, LATERAL)",procedimientos
873422,RADIOGRAFIA DE RODILLAS COMPARATIVAS POSICION VERTICAL (UNICAMENTE VISTA ANTEROPOSTERIOR),procedimientos
873431,"RADIOGRAFIA DE TOBILLO (AP, LATERAL Y ROTACION INTERNA)",procedimientos
881141,ECOGRAFIA DE TIROIDES CON TRANSDUCTOR DE 7 MHZ O MAS,procedimientos
881202,ECOCARDIOGRAMA TRANSTORACICO,procedimientos
881401,ECOGRAFIA PELVICA GINECOLOGICA TRANSVAGINAL,procedimientos
881601,ECOGRAFIA DE TEJIDOS BLANDOS EN LAS EXTREMIDADES SUPERIORES CON TRANSDUCTOR DE 7 MHZ O MAS,procedimientos
881602,ECOGRAFIA DE TEJIDOS BLANDOS EN LAS EXTREMIDADES INFERIORES CON TRANSDUCTOR DE 7 MHZ O MAS,procedimientos
881610,ECOGRAFIA ARTICULAR DE HOMBRO,procedimientos
881611,ECOGRAFIA ARTICULAR DE CODO,procedimientos
881612,ECOGRAFIA ARTICULAR DE PUNO (MUNECA),procedimientos
881613,ECOGRAFIA ARTICULAR DE MANO,procedimientos
881620,ECOGRAFIA ARTICULAR DE RODILLA,procedimientos
881621,ECOGRAFIA ARTICULAR DE TOBILLO,procedimientos
881622,ECOGRAFIA ARTICULAR DE PIE,procedimientos
881630,ECOGRAFIA ARTICULAR DE CADERA,procedimientos
886101,ELASTOGRAFIA,procedimientos
890102,"ATENCION (VISITA) DOMICILIARIA, POR MEDICINA ESPECIALIZADA",procedimientos
890109,"ATENCION (VISITA) DOMICILIARIA, POR TRABAJO SOCIAL",procedimientos
890115,"ATENCION (VISITA) DOMICILIARIA, POR EQUIPO INTERDISCIPLINARIO",procedimientos
890502,PARTICIPACION EN JUNTA MEDICA O EQUIPO INTERDISCIPLINARIO POR MEDICINA ESPECIALIZADA Y CASO (PACIENTE),procedimientos
893109,EXAMEN O RECONOCIMIENTO DE MUCOSA ORAL Y PERIODONTAL,procedimientos
895004,MONITOREO AMBULATORIO DE PRESION ARTERIAL SISTEMICA,procedimientos
895101,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE,procedimientos
898004,ESTUDIO ANATOMOPATOLOGICO BASICO EN ASPIRADO DE MEDULAOSEA (MIELOGRAMA),procedimientos
898101,ESTUDIO DE COLORACION BASICA EN BIOPSIA,procedimientos
902002,AGREGACION PLAQUETARIA CON RISTOCETINA 2 DILUCIONES(RIPA),procedimientos
902006,ANTIGENO ANTITROMBINA III (CONCENTRACION) AUTOMATIZADA,procedimientos
902012,FACTOR II DE LA COAGULACION CUANTIFICACION(PROTROMBINA),procedimientos
902014,FACTOR IX DE LA COAGULACION(CHRISTMAS O PTC),procedimientos
902016,FACTOR V DE LA COAGULACION(LABIL O PROACELERINA),procedimientos
902017,FACTOR VII DE LA COAGULACION(ESTABLE O PROCONVERTINA),procedimientos
902018,FACTOR VIII DE LA COAGULACION,procedimientos
902019,ANTIGENO DEL FACTOR VON WILLEBRAND,procedimientos
902020,FACTOR X(STUART PROWER),procedimientos
902021,FACTOR XI(PTA),procedimientos
902022,FACTOR XII(FACTOR DE HAGEMAN),procedimientos
902023,FACTOR XIII(FSF FACTOR ESTABILIZANTE DE LA FIBRINA O TIEMPO DE LISIS COAGULO),procedimientos
902024,FIBRINOGENO,procedimientos
902034,PROTEINA C DE LA COAGULACION ANTIGENO,procedimientos
902036,PROTEINA S DE LA COAGULACION ANTIGENO TOTAL,procedimientos
902039,RESISTENCIA A LA PROTEINA C ACTIVADA (ASOCIADA A FACTOR V),procedimientos
902045,TIEMPO DE PROTROMBINA(TP),procedimientos
902048,TIEMPO DE TROMBINA,procedimientos
902049,TIEMPO DE TROMBOPLASTINA PARCIAL(TTP),procedimientos
902056,INHIBIDOR DE FACTOR IX,procedimientos
902059,INHIBIDOR DE FACTOR VIII,procedimientos
902060,INHIBIDOR DE FACTOR X,procedimientos
902067,UNION DE VON WILLEBRAND A COLAGENO: (VWF:CB),procedimientos
902068,UNION DE VON WILLEBRAND A FACTOR VIII: (VWF:FVIIIB),procedimientos
902069,MULTIMEROS DEL FACTOR DE VON WILLEBRAND: (VWF:MA),procedimientos
902072,ACTIVIDAD DEL FACTOR VON WILLEBAND,procedimientos
902073,VISCOELASTICIDAD DE LA SANGRE,procedimientos
902074,ANTIGENO DE FACTOR VON WILLEBRAND PRE Y POST ESTIMULO (ESPECIFICO) HASTA 6 MUESTRAS,procedimientos
902075,ACTIVIDAD DE FACTOR VON WILLEBRAND PRE Y POST ESTIMULO (ESPECIFICO) HASTA 6 MUESTRAS,procedimientos
902077,INHIBIDOR DE FACTOR VON WILLEBRAND,procedimientos
902205,ERITROSEDIMENTACION(VELOCIDAD SEDIMENTACION GLOBULAR - VSG) AUTOMATIZADA,procedimientos
902209,HEMOGRAMA III (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA) AUTOMATIZADO,procedimientos
902210,HEMOGRAMA IV (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA E HISTOGRAMA) AUTOMATIZADO,procedimientos
903016,FERRITINA,procedimientos
903026,MICROALBUMINURIA AUTOMATIZADA EN ORINA PARCIAL,procedimientos
903066,PEPTIDO ATRIAL NATRIURETICO(BNP)(PEPTIDO CEREBRAL NATRIURETICO),procedimientos
903426,HEMOGLOBINA GLICOSILADA AUTOMATIZADA,procedimientos
903427,HEMOGLOBINA GLICOSILADA MANUAL O SEMIAUTOMATIZADA,procedimientos
903431,LIPOPROTEINA A,procedimientos
903605,IONOGRAMA(CLORO SODIO POTASIO Y BICARBONATO O CALCIO),procedimientos
903703,VITAMINA B12(CIANOCOBALAMINA),procedimientos
903707,VITAMINA D 125 DIHIDROXI(D2-D3)(CALCIFIDOL),procedimientos
903801,ACIDO URICO EN SUERO U OTROS FLUIDOS,procedimientos
903809,BILIRRUBINAS TOTAL Y DIRECTA,procedimientos
903815,COLESTEROL DE ALTA DENSIDAD,procedimientos
903816,COLESTEROL DE BAJA DENSIDAD SEMIAUTOMATIZADO,procedimientos
903817,COLESTEROL DE BAJA DENSIDAD(LDL) AUTOMATIZADO,procedimientos
903818,COLESTEROL TOTAL,procedimientos
903823,CREATININA DEPURACION,procedimientos
903828,DESHIDROGENASA LACTICA,procedimientos
903841,GLUCOSA EN SUERO U OTRO FLUIDO DIFERENTE A ORINA,procedimientos
903856,NITROGENO UREICO,procedimientos
903859,POTASIO EN SUERO U OTROS FLUIDOS,procedimientos
903862,PROTEINAS EN ORINA DE 24 HORAS,procedimientos
903864,SODIO EN SUERO U OTROS FLUIDOS,procedimientos
903866,TRANSAMINASA GLUTAMICO-PIRUVICA(ALANINO AMINO TRANSFERASA),procedimientos
903867,TRANSAMINASA GLUTAMICO OXALACETICA(ASPARTATO AMINO TRANSFERASA),procedimientos
903868,TRIGLICERIDOS,procedimientos
903895,CREATININA EN SUERO U OTROS FLUIDOS,procedimientos
904706,PEPTIDO C,procedimientos
904902,HORMONA ESTIMULANTE DEL TIROIDES,procedimientos
904904,HORMONA ESTIMULANTE DEL TIROIDES ULTRASENSIBLE,procedimientos
904921,TIROXINA LIBRE,procedimientos
906039,Treponema pallidum ANTICUERPOS (PRUEBA TREPONEMICA) MANUAL O SEMIAUTOMATIZADA O AUTOMATIZADA,procedimientos
906221,Hepatitis B ANTICUERPOS CENTRAL TOTALES(ANTI-CORE HBc) SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906223,Hepatitis B ANTICUERPOS S(ANTI-HBs) SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906225,Hepatitis C ANTICUERPO SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906249,Virus de Inmunodeficiencia Humana 1 Y 2 ANTICUERPOS,procedimientos
906317,Hepatitis B ANTIGENO DE SUPERFICIE(Ag HBs),procedimientos
906406,ANTICUERPOS NUCLEARES EXTRACTABLES TOTALES(ENA) SS-A(Ro) SS-B(La) RNP y Sm SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906425,INSULINA ANTICUERPOS SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906426,INSULINA ANTICUERPOS ISLOTES SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906441,ANTICUERPOS ANTINUCLEARES MANUAL,procedimientos
906466,CITRULINA ANTICUERPOS(ANTI PEPTIDO CICLICO CITRULINADO) SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906483,ACIDO GLUTAMICO DECARBOXILASA ANTICUERPO SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906498,IDENTIFICACION DE OTROS ANTICUERPOS (ESPECIFICO) SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906906,COMPLEMENTO SERICO C3 AUTOMATIZADO,procedimientos
906908,COMPLEMENTO SERICO C4 AUTOMATIZADO,procedimientos
906910,FACTOR REUMATOIDEO SEMIAUTOMATIZADO O AUTOMATIZADO,procedimientos
906913,PROTEINA C REACTIVA ALTA PRECISION AUTOMATIZADO,procedimientos
906915,PRUEBA NO TREPONEMICA MANUAL,procedimientos
907106,UROANALISIS,procedimientos
907107,UROBILINOGENO EN ORINA PARCIAL,procedimientos
908411,CARIOTIPO PARA ESTADOS LEUCEMICOS,procedimientos
908420,ESTUDIOS MOLECULARES DE GENES (ESPECIFICOS),procedimientos
908427,F2 (FACTOR II O PROTROMBINA) MUTACION G20210A,procedimientos
908441,FACTOR DE LEIDEN MUTACION,procedimientos
931001,TERAPIA FISICA INTEGRAL,procedimientos
951302,ECOGRAFIA OCULAR MODO A Y B,procedimientos
972201,SUSTITUCION DE TAPON DENTAL,procedimientos
990103,"EDUCACION GRUPAL EN SALUD, POR ODONTOLOGIA",procedimientos
990112,"EDUCACION GRUPAL EN SALUD, POR HIGIENE ORAL",procedimientos
990203,"EDUCACION INDIVIDUAL EN SALUD, POR ODONTOLOGIA",procedimientos
990211,"EDUCACION INDIVIDUAL EN SALUD, POR AGENTE EDUCATIVO",procedimientos
990212,"EDUCACION INDIVIDUAL EN SALUD, POR HIGIENE ORAL",procedimientos
990213,"EDUCACION INDIVIDUAL EN SALUD, POR EQUIPO INTERDISCIPLINARIO",procedimientos
992301,INYECCION O INFILTRACION DE ESTEROIDE,procedimientos
992801,INYECCION O INFUSION DE MODIFICADOR DE RESPUESTA BIOLOGICA,procedimientos
992990,INYECCION O INFUSION DE OTRA SUSTANCIA TERAPEUTICA O PROFILACTICA,procedimientos
997001,PROFILAXIS DENTAL O PULIDO CORONAL,procedimientos
997002,CONTROL DE PLACA DENTAL,procedimientos
997103,TOPICACION DE FLUOR EN GEL,procedimientos
997105,APLICACION DE RESINA PREVENTIVA,procedimientos
997106,TOPICACION DE FLUOR EN BARNIZ,procedimientos
997107,APLICACION DE SELLANTES,procedimientos
997301,DETARTRAJE SUPRAGINGIVAL,procedimientos
998301,FOTOTERAPIA CONTINUA,procedimientos
998303,FOTOTERAPIA INTERMITENTE,procedimientos
998702,SOPORTE DE SEDACION PARA CONSULTA O APOYO DIAGNOSTICO,procedimientos
998704,COMPOSICION CORPORAL POR BIOIMPEDANCIA OCTOPOLAR,procedimientos
